,carat,Ideal,Premium,Very Good,Good,Fair,D,E,F,G,H,I,J,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,I1
0,0.2,0.0,0.0,367.0,361.5,0.0,367.0,361.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,367.0,0.0,0.0
1,0.21,0.0,0.0,0.0,379.5,386.0,386.0,375.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,394.0,0.0,386.0,0.0,0.0
2,0.22,337.0,0.0,0.0,405.0,0.0,404.0,370.5,406.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,381.6666666666667,0.0,0.0
3,0.23,369.0,443.46153846153845,495.375,594.4117647058823,481.28985507246375,504.93939393939394,497.1720430107527,489.2962962962963,457.8,420.1666666666667,414.0,340.0,0.0,491.3333333333333,369.5,387.5,421.92857142857144,443.3333333333333,504.7037037037037,509.2475247524753
4,0.24,0.0,453.1,548.2745098039215,577.8181818181819,485.88495575221236,520.4761904761905,504.6190476190476,520.1076923076923,492.5882352941176,474.0,446.0,432.0,0.0,583.0,439.0,0.0,428.07142857142856,425.25,541.6964285714286,528.8333333333334
5,0.25,788.0,493.64285714285717,534.4313725490196,670.0,536.2592592592592,496.27777777777777,577.2115384615385,584.0588235294117,517.72,467.9375,468.3333333333333,0.0,0.0,599.8333333333334,401.8,1099.5,460.0344827586207,463.3125,582.7560975609756,575.2833333333333
6,0.26,0.0,538.8666666666667,565.8888888888889,577.4285714285714,523.52,567.4285714285714,598.6,564.7551020408164,498.9259259259259,489.8529411764706,445.3333333333333,0.0,0.0,639.7777777777778,453.4,362.0,480.32,451.0,617.2156862745098,588.3269230769231
7,0.27,371.0,677.0,591.7906976744187,653.8333333333334,538.2567567567568,623.1904761904761,593.6461538461539,632.2727272727273,522.0,492.1111111111111,467.9230769230769,443.0,0.0,680.4375,400.0,361.0,480.3255813953488,497.4,644.0,617.0909090909091
8,0.28,0.0,478.0,607.2456140350877,681.4545454545455,549.5441176470588,633.2,616.48,619.4166666666666,513.875,499.84615384615387,461.0,375.0,0.0,668.625,425.8333333333333,0.0,498.4375,487.7391304347826,640.7333333333333,634.2083333333334
9,0.29,1776.0,574.5,633.175,529.25,573.1555555555556,643.2,643.2380952380952,684.6086956521739,577.3225806451613,535.2,397.75,0.0,0.0,693.0,977.6666666666666,496.0,514.8181818181819,495.25,676.3333333333334,624.6296296296297
10,0.3,684.0666666666667,590.0545454545454,698.0189873417721,718.0341685649203,616.4827586206897,713.0132890365448,738.3269754768393,706.5145631067961,715.5676855895197,601.0532544378698,523.6530612244898,435.6981132075472,495.0,874.472049689441,533.8125,456.8641975308642,630.5694050991501,674.6207627118644,806.3536121673004,743.3620689655172
11,0.31,763.6666666666666,590.1578947368421,743.0075839653305,717.1048593350383,638.75,742.7185185185185,775.4573170731708,777.4307116104869,718.9803921568628,642.5650557620818,530.5174825174826,417.84375,394.0,937.9141104294479,562.2347266881029,485.2686567164179,674.6627906976744,683.8939393939394,834.7654320987655,775.3537735849056
12,0.32,1076.0,563.8648648648649,759.8363858363858,707.6209150326797,632.6113989637306,771.0219298245614,791.3032786885246,790.8284313725491,722.9744318181819,648.2592592592592,556.7096774193549,449.74074074074076,440.75,930.3142857142857,589.1173913043478,483.0,688.3478260869565,698.1213592233009,879.3027027027027,807.3793103448276
13,0.33,807.5,578.96875,808.6220930232558,752.0084033613446,675.4580152671756,778.0083333333333,824.5537634408602,829.1838235294117,784.596837944664,701.9032258064516,613.6404494382023,473.09090909090907,0.0,959.5061728395061,614.0900900900901,518.75,731.3,732.8595744680852,918.8111888111888,812.956204379562
